
	carbon	oxygen	iron	nitrogen
GCF_000008065.1	-1.197	0.427	0.814	-0.438	1.447
GCF_000008125.1	4.351	3.705	3.903	4.298	14.153
GCF_000008185.1	0.355	1.026	0.107	0.865	3.170
GCF_000008205.1	-0.153	-0.605	0.010	0.162	0.230
GCF_000008245.1	-0.719	-0.894	0.002	-0.177	-0.171
GCF_000008265.1	1.924	2.545	1.890	2.527	10.867
GCF_000008285.1	-0.129	1.554	2.871	1.434	6.367
GCF_000008305.1	-0.786	-0.755	-0.140	-0.035	0.418
GCF_000008325.1	4.140	18.303	6.648	7.768	19.030
GCF_000008345.1	1.791	1.784	1.633	3.735	11.796
GCF_000008365.1	-0.555	-0.886	0.010	-0.177	-0.115
GCF_000008385.1	0.954	1.363	1.411	3.785	6.834
GCF_000008425.1	2.289	0.436	3.424	3.868	13.132
GCF_000008465.1	-1.264	1.538	2.601	5.097	8.787
GCF_000008485.1	0.891	1.823	1.818	6.450	10.134
GCF_000008525.1	2.287	2.997	1.602	4.080	8.692
GCF_000008545.1	2.698	5.169	1.550	1.052	7.144
GCF_000008565.1	0.697	4.303	3.851	3.762	14.362
GCF_000008585.1	-0.876	3.075	3.480	2.073	15.330
GCF_000008605.1	0.646	-0.204	0.493	0.190	1.017
GCF_000008625.1	7.117	6.233	4.741	7.031	12.721
GCF_000008645.1	5.653	77.383	4.526	0.438	8.295
GCF_000008665.1	9.599	34.260	3.175	4.699	9.915
GCF_000008685.2	-0.792	-0.359	0.575	-0.154	0.553
GCF_000008725.1	-0.299	-0.902	0.221	0.590	1.162
GCF_000008765.1	0.758	5.464	4.526	1.630	7.996
GCF_000008785.1	1.903	2.603	1.602	3.931	8.382
GCF_000008805.1	-0.229	2.754	1.908	2.748	11.316
GCF_000008885.1	-0.574	-1.456	1.810	1.037	2.500
GCF_000008925.1	-1.070	0.909	1.335	0.525	2.685
GCF_000008985.1	-0.067	1.455	1.186	1.674	7.755
GCF_000009005.1	0.076	0.942	2.418	2.307	8.864
GCF_000009025.1	5.505	11.297	1.199	1.604	8.631
GCF_000009045.1	1.963	1.191	3.424	3.304	12.781
GCF_000009085.1	4.632	3.845	2.482	7.555	12.182
GCF_000009125.1	0.752	4.036	3.376	4.334	15.700
GCF_000009145.1	-1.841	1.754	2.870	7.453	13.658
GCF_000009165.1	-1.279	3.696	3.598	7.207	15.196
GCF_000009185.1	0.292	6.482	3.720	3.033	13.022
GCF_000009205.1	1.189	7.784	0.402	1.460	6.554
GCF_000009225.2	-1.288	3.500	3.644	5.435	16.418
GCF_000009285.1	1.670	4.554	4.402	7.985	17.063
GCF_000009305.1	0.941	1.876	1.665	4.080	7.913
GCF_000009345.1	2.139	5.603	2.846	6.387	15.183
GCF_000009365.1	2.143	3.024	3.863	5.385	12.258
GCF_000009405.1	2.342	2.443	2.470	2.265	9.693
GCF_000009425.1	-0.186	1.995	1.891	0.607	3.658
GCF_000009485.1	-1.049	3.743	4.299	4.703	16.631
GCF_000009545.1	-1.502	-0.740	-0.080	0.016	1.349
GCF_000009605.1	2.167	3.023	2.957	0.997	7.367
GCF_000009625.1	-0.519	6.692	6.195	3.889	17.520
GCF_000009685.1	2.141	3.149	-0.020	0.669	5.515
GCF_000009705.1	3.020	10.194	7.370	4.421	17.740
GCF_000009725.1	4.307	8.514	7.640	4.215	15.064
GCF_000009745.1	0.875	2.780	3.034	9.731	12.170
GCF_000009765.2	-0.754	3.312	3.724	2.596	15.968
GCF_000009785.1	2.523	4.787	3.193	4.021	14.323
GCF_000009805.1	-1.320	2.622	3.338	2.039	15.083
GCF_000009825.1	1.670	1.520	3.580	4.150	11.777
GCF_000009845.1	0.246	-0.546	0.166	-0.035	0.351
GCF_000009865.1	2.886	0.663	2.956	1.685	9.632
GCF_000009885.1	1.306	5.604	2.715	3.796	14.719
GCF_000009905.1	4.060	6.013	2.974	7.634	12.822
GCF_000009925.1	0.095	4.144	0.168	5.099	7.403
GCF_000009945.1	-0.250	-0.771	0.071	0.590	1.617
GCF_000009965.1	5.383	5.013	-0.430	0.060	6.817
GCF_000009985.1	5.540	9.831	5.708	10.241	16.642
GCF_000010005.1	1.265	3.103	0.997	0.822	3.161
GCF_000010045.1	4.323	15.548	4.809	7.001	12.880
GCF_000010065.1	3.365	9.237	8.519	3.660	14.824
GCF_000010085.1	0.464	2.898	2.415	1.919	9.606
GCF_000010105.1	0.699	2.920	3.772	2.418	15.461
GCF_000010125.1	0.572	2.220	2.958	1.169	7.277
GCF_000010145.1	0.653	0.992	1.461	1.195	3.041
GCF_000010165.1	1.962	2.858	3.818	3.802	14.668
GCF_000010185.1	0.644	1.250	-0.590	0.474	4.324
GCF_000010205.1	0.563	1.568	1.466	3.719	7.184
GCF_000010225.1	-1.853	0.247	4.101	2.360	10.577
GCF_000010265.1	0.218	4.609	3.921	0.944	7.288
GCF_000010285.1	-0.457	0.453	4.201	2.653	10.676
GCF_000010305.1	1.425	3.411	2.134	5.524	13.517
GCF_000010325.1	7.824	7.374	4.170	5.877	12.363
GCF_000010345.1	7.093	6.460	3.382	8.172	14.129
GCF_000010405.1	8.730	3.704	3.690	7.398	13.431
GCF_000010425.1	0.752	0.668	1.413	0.801	2.946
GCF_000010525.1	1.433	5.513	7.307	5.078	17.214
GCF_000010545.1	-0.463	3.690	3.311	4.703	16.108
GCF_000010585.1	0.388	-0.671	2.891	4.021	9.992
GCF_000010605.1	-1.091	2.107	3.410	2.221	15.464
GCF_000010625.1	2.479	10.191	7.188	4.042	15.396
GCF_000010645.1	2.515	4.773	4.404	0.738	8.648
GCF_000010665.1	9.805	10.297	4.561	5.569	12.950
GCF_000010705.1	-1.626	0.322	0.116	0.653	1.057
GCF_000010725.1	0.791	5.824	6.231	6.956	17.795
GCF_000010785.1	9.289	8.405	7.028	4.764	14.919
GCF_000010805.1	0.883	6.790	3.528	2.276	15.879
GCF_000010825.1	-0.494	3.224	3.219	6.515	14.240
GCF_000010985.1	4.909	8.915	0.097	6.434	11.312
GCF_000011025.1	0.389	0.317	2.588	0.870	7.642
GCF_000011045.1	-0.807	1.078	1.494	0.571	3.228
GCF_000011065.1	-0.668	6.689	1.516	5.099	9.268
GCF_000011085.1	2.377	6.308	3.206	3.298	14.175
GCF_000011105.1	5.450	7.145	-0.351	0.103	5.527
GCF_000011145.1	1.097	2.843	3.931	3.725	12.080
GCF_000011185.1	4.523	4.996	-0.413	1.903	7.819
GCF_000011205.1	5.160	3.837	4.134	2.136	12.283
GCF_000011225.1	-0.064	-0.631	0.088	-0.005	1.093
GCF_000011245.1	0.517	-0.359	4.280	3.377	10.480
GCF_000011305.1	-1.407	0.307	4.304	2.360	10.002
GCF_000011345.1	2.906	9.745	6.819	4.378	12.682
GCF_000011365.1	2.082	6.805	7.335	7.935	19.282
GCF_000011385.1	1.936	7.709	6.421	3.303	15.950
GCF_000011445.1	-0.646	-0.605	0.010	-0.035	-0.171
GCF_000011465.1	1.876	5.346	8.378	3.421	10.933
GCF_000011485.1	2.537	3.873	7.501	3.421	12.073
GCF_000011545.1	-1.236	3.795	4.313	5.820	16.291
GCF_000011585.1	5.454	77.375	4.981	0.496	7.911
GCF_000011605.1	2.839	7.714	4.660	4.464	15.531
GCF_000011685.1	-0.554	2.490	4.296	7.017	10.652
GCF_000011725.1	1.937	2.858	1.650	4.080	8.489
GCF_000011745.1	2.127	2.874	3.117	1.271	7.916
GCF_000011785.1	2.953	1.152	-0.286	4.603	5.590
GCF_000011805.1	0.690	3.844	2.493	8.231	10.979
GCF_000011825.1	-0.866	-0.679	0.438	0.952	1.432
GCF_000011905.1	5.547	18.381	3.933	1.604	9.297
GCF_000011945.1	0.951	2.319	1.842	3.704	7.228
GCF_000011965.2	2.511	5.541	3.902	6.209	15.560
GCF_000011985.1	-1.674	1.283	1.697	-0.104	1.644
GCF_000012085.1	-0.764	-0.044	0.588	0.069	0.381
GCF_000012145.1	-0.062	1.195	1.858	3.970	7.089
GCF_000012185.1	3.138	1.162	-0.253	4.527	5.165
GCF_000012205.1	-0.997	4.030	4.091	2.122	15.018
GCF_000012225.1	-0.001	-0.462	0.166	-0.035	0.233
GCF_000012245.1	-1.100	4.479	4.043	2.337	15.259
GCF_000012265.1	-0.361	7.035	4.544	6.910	15.359
GCF_000012285.1	5.223	3.265	3.498	2.734	11.849
GCF_000012305.1	2.963	3.559	2.293	4.874	12.556
GCF_000012325.1	-1.024	2.562	2.857	8.323	14.170
GCF_000012345.1	-0.072	2.698	2.141	4.180	11.132
GCF_000012365.1	-1.127	3.751	4.233	4.577	16.665
GCF_000012385.1	0.176	1.188	1.923	3.719	7.208
GCF_000012405.1	1.657	2.710	4.102	2.502	14.316
GCF_000012425.1	3.502	10.055	6.470	10.322	17.139
GCF_000012445.1	0.835	3.887	4.582	5.292	16.598
GCF_000012465.1	2.684	5.276	8.378	3.421	11.138
GCF_000012485.1	7.257	9.740	5.098	7.090	11.881
GCF_000012505.1	2.637	4.644	8.274	3.282	14.098
GCF_000012545.1	4.690	67.195	4.072	0.743	7.224
GCF_000012565.1	0.533	1.855	1.842	3.704	7.228
GCF_000012585.1	11.261	7.581	5.486	7.463	12.549
GCF_000012605.1	2.607	6.495	3.643	5.108	13.885
GCF_000012625.1	2.111	4.903	8.669	3.497	13.326
GCF_000012645.1	2.347	5.529	7.441	3.421	10.751
GCF_000012665.1	10.816	6.783	4.036	5.625	8.664
GCF_000012685.1	0.215	2.771	3.319	5.346	15.919
GCF_000012725.1	-0.065	1.858	4.630	4.683	14.621
GCF_000012745.1	11.044	5.818	4.735	3.943	14.540
GCF_000012765.1	-0.625	-0.311	0.383	-0.035	0.100
GCF_000012805.1	1.844	11.186	3.276	8.781	15.515
GCF_000012825.1	0.181	7.346	0.833	1.709	7.554
GCF_000012845.1	1.184	2.904	1.270	4.936	7.854
GCF_000012865.1	8.537	14.030	1.417	4.477	10.567
GCF_000012885.1	4.165	10.467	5.986	4.634	13.262
GCF_000012925.1	4.160	9.332	4.956	9.278	15.908
GCF_000012945.1	-0.989	4.724	4.307	4.631	16.250
GCF_000012965.1	7.596	6.134	3.527	7.088	12.792
GCF_000012985.1	2.115	3.477	3.308	7.008	15.052
GCF_000013005.1	-1.323	3.040	3.718	5.017	14.413
GCF_000013025.1	0.859	2.430	3.692	4.103	13.727
GCF_000013045.1	0.347	1.759	2.528	3.070	10.408
GCF_000013085.1	0.706	11.607	4.963	6.234	15.544
GCF_000013105.1	8.007	18.060	5.514	0.755	11.163
GCF_000013125.1	0.629	2.068	1.313	3.442	6.662
GCF_000013145.1	0.533	1.855	1.842	3.927	7.228
GCF_000013165.1	0.869	0.640	1.293	3.927	7.083
GCF_000013185.1	2.205	2.173	2.671	0.956	7.004
GCF_000013205.1	3.565	8.443	7.495	3.442	13.257
GCF_000013225.1	3.305	11.596	7.180	3.442	13.650
GCF_000013245.1	2.287	3.336	1.602	4.080	8.692
GCF_000013325.1	-1.028	2.764	3.490	6.977	14.959
GCF_000013345.1	1.938	5.752	6.356	2.770	17.635
GCF_000013365.1	0.511	8.953	7.657	7.785	17.241
GCF_000013385.1	5.303	3.128	3.039	7.924	15.203
GCF_000013405.1	5.713	8.302	0.530	5.025	7.379
GCF_000013445.1	5.122	73.622	4.506	1.068	9.272
GCF_000013565.1	0.947	10.046	5.936	4.514	16.132
GCF_000013605.1	2.815	5.139	4.594	9.622	15.159
GCF_000013625.1	-0.280	4.110	3.041	5.481	16.085
GCF_000013645.1	0.522	17.051	7.069	5.787	18.715
GCF_000013665.1	0.011	2.664	4.215	6.895	12.006
GCF_000013685.1	2.420	9.244	6.641	7.663	17.123
GCF_000013705.1	0.404	15.535	5.512	1.783	15.063
GCF_000013725.1	4.007	77.602	4.527	3.997	10.825
GCF_000013745.1	0.957	11.194	6.644	9.274	17.334
GCF_000013765.1	-0.713	1.269	2.932	7.171	11.073
GCF_000013785.1	1.625	7.843	6.815	9.252	15.316
GCF_000013865.1	0.748	3.966	4.371	3.663	16.761
GCF_000013885.1	1.525	1.747	4.295	6.141	15.727
GCF_000013905.1	1.035	3.288	2.371	3.944	13.002
GCF_000013945.1	1.282	2.781	3.512	4.206	14.180
GCF_000013985.1	0.698	3.662	3.490	7.264	15.400
GCF_000014005.1	3.624	5.996	3.705	6.308	15.742
GCF_000014025.1	4.034	6.289	2.812	7.950	13.043
GCF_000014045.1	3.223	9.781	5.781	6.546	17.133
GCF_000014065.1	1.609	5.106	3.885	4.180	14.568
GCF_000014085.1	-1.049	2.467	3.456	4.561	15.752
GCF_000014125.1	1.453	2.404	0.478	0.649	4.449
GCF_000014145.1	0.879	3.615	3.076	6.130	14.349
GCF_000014165.1	1.707	3.509	4.564	2.418	15.513
GCF_000014185.1	3.486	8.022	4.070	2.214	14.218
GCF_000014205.1	-1.619	-0.272	0.039	0.467	2.554
GCF_000014225.1	-1.401	2.496	4.477	7.643	12.391
GCF_000014245.1	-0.172	2.587	3.521	3.574	14.874
GCF_000014265.1	3.225	12.490	7.247	4.281	16.266
GCF_000014285.1	1.817	16.409	3.374	2.753	15.284
GCF_000014345.1	-0.009	1.371	1.858	3.934	6.588
GCF_000014385.1	-0.965	-0.143	0.874	0.440	2.015
GCF_000014405.1	-1.419	0.635	0.980	-0.438	1.478
GCF_000014425.1	-1.112	0.427	0.814	-0.386	1.030
GCF_000014445.1	-1.281	0.830	1.716	1.234	3.008
GCF_000014465.1	-2.127	-0.168	-0.183	-0.523	1.668
GCF_000014505.1	-0.822	0.306	0.715	-0.295	1.298
GCF_000014525.1	-0.807	1.708	1.560	0.499	3.081
GCF_000014565.1	1.359	3.472	3.645	2.352	15.931
GCF_000014585.1	2.519	4.769	8.274	4.215	13.752
GCF_000014665.1	2.751	4.676	2.835	10.026	11.066
GCF_000014705.1	2.083	4.749	2.735	9.602	12.811
GCF_000014725.1	2.824	4.729	1.488	4.514	7.783
GCF_000014745.1	0.131	1.782	3.359	4.158	14.471
GCF_000014765.1	-1.367	3.969	3.562	7.878	14.277
GCF_000014785.1	4.843	4.026	3.659	8.431	14.762
GCF_000014805.1	3.192	5.323	2.812	9.214	15.329
GCF_000014825.1	1.788	11.540	7.604	10.119	17.997
GCF_000014865.1	6.206	9.034	5.274	7.856	15.084
GCF_000014885.1	2.553	4.452	2.754	9.529	13.202
GCF_000014905.1	1.295	5.261	3.584	7.212	16.642
GCF_000014925.1	-2.274	0.842	3.489	2.571	13.052
GCF_000014965.1	9.859	14.912	4.241	7.125	13.196
GCF_000015005.1	2.403	3.501	4.612	2.346	15.467
GCF_000015025.1	2.940	3.885	3.674	3.106	14.351
GCF_000015045.1	4.829	8.817	4.366	4.587	11.714
GCF_000015085.1	4.351	4.846	2.360	7.389	11.947
GCF_000015105.1	8.712	3.632	3.862	5.294	13.148
GCF_000015125.1	8.388	11.460	4.797	5.711	12.276
GCF_000015145.1	8.810	4.359	0.263	1.459	6.014
GCF_000015165.1	1.379	6.167	7.290	7.981	18.886
GCF_000015185.1	2.262	4.675	2.966	10.026	11.065
GCF_000015205.1	7.947	7.353	0.806	0.251	7.638
GCF_000015225.1	6.859	8.605	-0.305	0.749	6.315
GCF_000015245.1	2.509	4.245	2.867	10.026	11.729
GCF_000015265.1	2.377	2.875	3.402	3.410	15.171
GCF_000015285.1	0.089	3.566	4.234	6.848	12.732
GCF_000015305.1	0.159	3.583	4.465	2.276	15.866
GCF_000015325.1	-1.017	4.320	2.739	4.191	15.139
GCF_000015345.1	-1.278	0.016	0.022	1.005	1.985
GCF_000015365.1	0.211	6.204	3.514	6.606	13.264
GCF_000015385.1	-0.695	0.641	1.556	-0.357	0.832
GCF_000015445.1	0.034	0.792	1.648	1.525	7.217
GCF_000015485.1	10.824	8.863	5.904	6.955	11.811
GCF_000015505.1	2.423	6.431	5.798	3.663	17.408
GCF_000015545.1	0.601	3.863	3.296	6.670	15.786
GCF_000015565.1	-1.166	4.806	3.826	3.342	15.102
GCF_000015585.1	4.223	9.797	4.419	7.569	13.748
GCF_000015645.1	2.004	5.125	7.441	3.421	10.751
GCF_000015665.1	1.890	6.769	6.758	2.941	9.746
GCF_000015705.1	2.537	3.675	7.402	3.248	12.255
GCF_000015725.1	1.931	15.924	4.436	4.579	16.241
GCF_000015745.1	2.891	4.796	3.220	4.021	12.816
GCF_000015765.1	3.851	71.224	3.607	0.793	8.861
GCF_000015785.1	2.106	1.191	3.424	3.519	12.781
GCF_000015825.1	4.797	68.552	4.657	1.086	9.422
GCF_000015845.1	2.002	4.541	3.089	9.529	11.844
GCF_000015865.1	2.488	9.087	4.932	1.279	8.716
GCF_000015885.1	3.839	4.400	0.653	4.660	7.882
GCF_000015945.1	7.076	5.676	0.164	0.060	4.473
GCF_000015965.1	1.446	5.529	7.441	3.421	10.817
GCF_000015985.1	2.870	8.661	6.587	8.587	16.838
GCF_000016065.1	2.245	3.938	2.867	10.026	11.930
GCF_000016085.1	7.667	7.985	5.098	6.006	11.872
GCF_000016125.1	5.504	76.744	3.924	0.651	6.935
GCF_000016165.1	8.433	7.931	3.771	3.586	11.501
GCF_000016185.1	0.774	8.453	5.910	8.296	15.625
GCF_000016205.1	0.492	7.298	6.946	4.703	18.311
GCF_000016265.1	-2.065	5.407	3.961	4.936	15.937
GCF_000016285.1	-2.146	2.493	3.961	3.670	15.724
GCF_000016325.1	2.031	5.848	2.142	1.636	13.214
GCF_000016345.1	1.097	5.826	4.328	6.893	15.096
GCF_000016365.1	-1.069	2.536	4.465	2.023	15.866
GCF_000016405.1	3.912	8.620	6.329	8.587	18.065
GCF_000016425.1	2.295	2.204	3.373	2.165	14.973
GCF_000016525.1	4.981	71.521	3.891	0.743	6.712
GCF_000016545.1	3.748	12.259	4.063	0.470	9.063
GCF_000016565.1	-0.550	3.244	2.961	7.639	15.384
GCF_000016605.1	6.350	5.034	2.660	2.136	11.424
GCF_000016645.1	0.527	3.354	3.555	4.674	15.833
GCF_000016665.1	5.094	7.547	5.099	3.764	14.338
GCF_000016725.1	2.437	5.028	3.325	3.918	14.456
GCF_000016745.1	4.815	8.136	5.062	9.136	15.541
GCF_000016765.1	-0.490	2.957	3.565	8.134	16.470
GCF_000016885.1	2.631	3.387	2.812	8.568	13.165
GCF_000016905.1	1.132	2.096	-0.693	0.536	5.256
GCF_000016965.1	3.045	11.966	3.697	1.780	12.005
GCF_000016985.1	1.697	13.917	3.869	2.295	10.154
GCF_000017005.1	-1.026	-0.837	0.039	0.609	2.271
GCF_000017025.1	2.129	5.584	3.135	1.165	7.966
GCF_000017145.1	-0.031	10.195	6.431	7.619	18.387
GCF_000017165.1	5.659	76.499	3.735	0.533	6.942
GCF_000017185.1	5.872	77.295	4.981	0.712	8.361
GCF_000017205.1	0.882	3.727	4.248	8.482	16.383
GCF_000017225.1	4.633	76.744	3.924	0.719	6.935
GCF_000017245.1	3.854	3.498	1.680	5.529	9.374
GCF_000017265.1	0.335	5.579	3.359	5.698	15.190
GCF_000017285.1	-1.614	2.404	3.229	2.180	12.761
GCF_000017305.1	-0.917	0.972	4.014	2.287	12.371
GCF_000017405.1	-0.471	2.669	3.443	4.321	14.878
GCF_000017425.1	2.690	3.363	3.837	3.668	13.205
GCF_000017465.2	5.737	4.065	1.345	7.080	9.850
GCF_000017505.1	5.986	6.382	5.208	7.524	15.774
GCF_000017545.1	0.734	2.918	-0.728	0.889	6.363
GCF_000017565.1	-2.622	1.374	4.041	5.619	14.264
GCF_000017585.1	3.739	6.678	0.811	7.955	9.958
GCF_000017605.1	0.917	2.712	3.157	5.013	14.084
GCF_000017625.1	4.903	74.236	5.038	1.508	10.790
GCF_000017645.1	1.940	17.416	7.132	6.199	17.907
GCF_000017665.1	1.839	6.101	2.937	3.402	13.364
GCF_000017705.1	0.567	2.322	3.185	8.001	11.651
GCF_000017725.2	5.961	4.791	0.951	8.331	9.188
GCF_000017805.1	5.094	7.547	5.099	5.518	14.338
GCF_000017845.1	2.782	9.825	6.513	4.083	16.540
GCF_000017865.1	1.334	1.872	-0.230	0.536	5.432
GCF_000017885.4	1.283	0.472	3.713	3.552	11.588
GCF_000017945.1	8.082	7.169	0.625	3.418	6.650
GCF_000018005.1	0.729	6.114	6.356	2.831	17.656
GCF_000018025.1	2.816	4.538	2.680	10.169	12.554
GCF_000018045.1	2.280	5.764	2.392	7.999	14.724
GCF_000018065.1	2.004	4.963	7.408	3.421	10.735
GCF_000018085.1	2.062	5.554	3.729	5.993	15.398
GCF_000018105.1	1.629	9.245	7.184	6.828	16.925
GCF_000018145.1	2.737	9.780	5.912	7.436	17.597
GCF_000018185.1	-1.122	0.371	0.717	0.810	2.089
GCF_000018205.1	-0.063	1.032	1.858	4.185	6.501
GCF_000018265.1	2.295	3.139	3.504	2.287	15.371
GCF_000018285.1	1.766	4.646	2.886	9.832	12.516
GCF_000018305.1	5.896	4.102	1.440	2.276	8.413
GCF_000018325.1	2.419	3.228	1.364	2.331	7.285
GCF_000018345.1	3.908	4.211	4.614	2.220	15.184
GCF_000018365.1	7.897	10.996	-0.502	0.209	6.329
GCF_000018405.1	7.759	12.769	1.104	7.090	9.040
GCF_000018425.1	11.529	17.490	4.775	1.514	10.211
GCF_000018445.1	-0.915	3.705	2.629	2.096	13.030
GCF_000018485.1	4.633	76.744	3.924	0.651	6.935
GCF_000018545.1	-1.420	6.112	6.085	7.456	17.773
GCF_000018605.1	6.030	4.892	1.203	0.199	7.113
GCF_000018625.1	3.894	5.540	2.669	5.671	14.398
GCF_000018665.1	-0.091	3.685	3.499	5.050	16.447
GCF_000018685.1	2.123	10.054	1.944	1.028	7.642
GCF_000018785.1	-1.389	-1.654	-0.449	-0.131	1.766
GCF_000018825.1	2.735	4.418	4.878	3.726	14.921
GCF_000018845.1	0.422	17.528	7.203	6.173	17.266
GCF_000018865.1	5.747	11.687	6.160	3.396	15.806
GCF_000018885.1	-3.001	-0.572	3.808	2.502	9.895
GCF_000018945.1	2.911	5.294	1.550	1.052	6.882
GCF_000019045.1	1.505	3.245	3.934	4.178	10.411
GCF_000019065.1	2.407	3.564	2.736	0.723	6.254
GCF_000019125.1	1.466	2.924	2.805	6.413	14.919
GCF_000019145.1	-0.597	2.214	3.562	7.216	15.300
GCF_000019165.1	5.097	11.691	3.507	6.492	11.977
GCF_000019185.1	3.225	7.861	2.732	10.026	12.527
GCF_000019205.1	4.411	2.361	1.996	7.540	11.862
GCF_000019225.1	-0.673	2.388	4.151	7.891	11.911
GCF_000019285.1	2.125	2.907	0.739	0.306	8.413
GCF_000019365.1	2.940	16.148	7.204	7.578	18.926
GCF_000019445.1	0.690	3.114	3.742	7.498	15.216
GCF_000019485.1	3.373	8.236	7.498	3.206	15.526
GCF_000019525.1	1.769	4.783	2.453	9.904	16.121
GCF_000019605.1	4.999	6.362	-0.327	2.696	7.786
GCF_000019665.1	4.900	6.335	6.936	4.989	17.240
GCF_000019685.1	-0.894	0.087	0.438	-0.154	0.504
GCF_000019725.1	1.894	17.373	7.007	6.422	17.554
GCF_000019745.1	-0.188	3.733	2.077	4.807	10.601
GCF_000019785.1	2.197	17.105	6.006	8.271	18.024
GCF_000019845.1	0.594	4.950	6.404	6.892	17.592
GCF_000019905.1	-2.063	-0.650	2.609	4.359	7.603
GCF_000019925.1	-0.471	4.681	4.096	4.703	16.657
GCF_000019945.1	1.112	17.463	7.071	5.915	17.326
GCF_000019965.1	2.594	5.114	3.458	6.201	14.538
GCF_000020005.1	3.043	2.969	0.479	1.303	8.667
GCF_000020025.1	2.506	10.956	6.730	3.502	17.308
GCF_000020045.1	0.780	17.911	5.929	4.703	18.062
GCF_000020065.1	-0.770	-0.211	0.010	-0.035	0.226
GCF_000020125.1	-0.737	3.548	4.582	5.059	16.221
GCF_000020145.1	2.071	2.034	-0.562	0.773	6.283
GCF_000020165.1	1.750	3.505	1.655	1.191	6.981
GCF_000020205.1	0.712	3.761	4.248	6.540	16.378
GCF_000020225.1	2.195	3.872	3.791	3.873	8.788
GCF_000020265.1	-2.139	4.193	6.546	4.148	18.179
